Title, Artist, Genre, Verse1, Verse2, Verse3, Verse4, Verse5, Verse6, Verse7, Verse8, Chorus1, Chorus2, Chorus3, Chorus4, Chorus5, Chorus6, Chorus7, Chorus8
Double Lariat - featuring Megurine Luka,Agoaniki-P,Vocal,,,,,,,,,,,,,,,,
Strong Ones,Armin van Buuren feat Cimo Frankel,Vocal,,,,,,,,,,,,,,,,
Hoist the Colours,Hans Zimmer,Vocal,F,D-,F,F,F,C,C,C,,,,,,,,
Rhythm Heaven Fever - I Feel Fine,Tsunku,Vocal,,,,,,,,,,,,,,,,
Crazy,Aerosmith,Vocal,,,,,,,,,A,F#,D,D,A,F#,D,E
Hide And Seek,Imogen Heap,Vocal,A,E,F#,D,D,A,E,F#,A,E,F#,D,D,F#,F#,A
Ohrwurm,Wise Guys,Vocal,,,,,,,,,F#,F#,D#,C#,B,G#,G#,C#
Fly to Paradise,Eric Whitacre,Vocal,,,,,,,,,E-,E-,G,G,D,A-,,
Build The Cities Grabbitz Remix,Karma Fields,Vocal,,,,,,,,,,,,,,,,
Stitches,Shawn Mendes,Vocal,,,,,,,,,B-,A-,D-,G-,B-,A-,G-,D-
Mischievous Function - Ochame kinou,Gojimaji-P,Vocal,E,B,C#,C#,D#,E,B,C#,E,B,C#,C#,D#,E,B,C#
Artificial Children,IOSYS,Vocal,,,,,,,,,,,,,,,,
Rhythm Heaven Fever - Dreams of our Generation,Tsunku,Vocal,,,,,,,,,,,,,,,,
Children's Festival - for Wedding,Uni Akiyama,Vocal,B-,C,B-,C,B-,C,D,D,,,,,,,,
Rhythm Heaven Fever - I Love You,Tsunku,Vocal,C#,C#,B,B,A,A,G#,G#,,,,,,,,
Mr Sandman,The Chordettes,Vocal,A,E,E,E,E,E,A,F#,,,,,,,,
Die Lorelei,RD-Sounds - Diao Ye Zong,Vocal,,,,,,,,,B,B,C#,C#,D#,D#,D#,A#
Ubi Caritas,Ola Gjeilo,Vocal,,,,,,,,,,,,,,,,
Clouds Over the Moon Flowers in the Wind,Yuuhei Satellite,Vocal,,,,,,,,,,,,,,,,
Enormous Penis,Da Vinci's Notebook,Vocal,,,,,,,,,E,E,B,B,B,B,B,B
Bright Eyes,Art Garfunkel,Vocal,G,C,G,E,C,G,D,D,B,C,D,B,C,A,D,E
Libera Me From Hell,Taku Iwasaki,Vocal,,,,,,,,,C#,C#,A,B,C#,C#,A,B
Tom's Diner,Suzanne Vega,Vocal,,,,,,,,,F#,F#,E,E,F#,F#,E,E
Only You,The Platters,Vocal,E-,B-,C,B-,A-,B-,E-,B-,,,,,,,,
The Longest Time,Billy Joel,Vocal,E-,A-,E-,E-,B-,B-,B-,C,E-,B-,E-,A-,B-,E-,B-,E-
Du Doof,Wise Guys,Vocal,,,,,,,,,,,,,,,,
Where In The World Is Carmen Sandiego,Rockapella,Vocal,F,B-,C,G,F,B-,C,G,,,,,,,,
The East Is Red,Li Huanzhi,Vocal,,,,,,,,,,,,,,,,
I Saw The Sign,Barden Bellas - Pitch Perfect,Vocal,,,,,,,,,,,,,,,,
Reno,Red Vox,Vocal,E,E,E,E,A,A,A,A,,,,,,,,
The Fall,Rhye,Vocal,,,,,,,,,,,,,,,,
Okami - Reset,Capcom,Vocal,A,E,A,E,A,E,D,E,F,G,A,E,F,G,C,F
Monochrome in the Night,Touhou Shibayan Feat 3L,Vocal,,,,,,,,,,,,,,,,
Peanut Butter and Jelly,InsideOut A Cappella,Vocal,,,,,,,,,F,B-,F,B-,F,C,F,B-
Deutschland,Die Prinzen,Vocal,A-,D-,E-,A-,D-,E-,A-,D-,A-,D-,E-,A-,D-,E-,A-,D-
Marisa Stole The Precious Thing,IOSYS,Vocal,,,,,,,,,A,G,F,F,G,F,E,A
ChRoNiClESeVeN,sasakureUK,Vocal,,,,,,,,,,,,,,,,
Ievan Polkka - Leekspin,Loituma,Vocal,,,,,,,,,,,,,,,,
Tomodachi Collection - Map - Day,Daisuke Shiiba,Video Game,E,A,E,A,C#,F#,A,F#,,,,,,,,
Running From Evil - Doom II Soundtrack,Bobby Prince,Video Game,,,,,,,,,,,,,,,,
Mega Man Soccer - Wily's Field,Capcom,Video Game,,,,,,,,,,,,,,,,
Domina - Boom,bignic,Video Game,,,,,,,,,,,,,,,,
Faster than Light - Civil Battle,Ben Prunty,Video Game,D,A,D,A,D,A,D,A,,,,,,,,
Escape from the City,Crush 40,Video Game,,,,,,,,,B,G#,G#,A#,E,G#,A#,B
Main Stage Theme,Bubble Bobble,Video Game,,,,,,,,,,,,,,,,
Title Screen,Buck Bumble,Video Game,A,C,F,E,A,C,F,E,,,,,,,,
On To Grasstown,Cave Story,Video Game,C,C,B-,B-,C,C,B-,B-,C,G,F,F,C,G,F,F
Zelda II - The Adventure of Link - Temple,Akito Nakatsuka,Video Game,,,,,,,,,G,F,E-,F,,,,
Aria Math,C418,Video Game,,,,,,,,,,,,,,,,
Doki Doki Literature Club OST - Your Reality,Dan Salvato,Video Game,C,A,F,G,C,A,F,G,C,D,G,C,A,D,G,C
Downstream,Braid Soundtrack,Video Game,E,G#,A,G#,A,D,D,E,A,F#,E,D,E,A,F#,D
Town of Salem - Godfather and his Little Friend,Blank Media Games,Video Game,,,,,,,,,,,,,,,,
Mega Man and Bass - Tengu Man Stage,Capcom,Video Game,A-,D,B-,C,B-,A-,A-,E-,G,C,C,G,C,C,F,C
Jazz Jackrabbit 2 - Castle,Alexander Brandon,Video Game,F,E-,F,E-,F,E-,F,E-,,,,,,,,
Goodbye Baby,Austin Jorgensen,Video Game,,,,,,,,,E,C,D,E,E,C,D,E
Mega Man 10 - Abandoned Memory,Capcom,Video Game,,,,,,,,,,,,,,,,
Resident Evil 6 - Mercenaries,Akihiko Narita,Video Game,A-,F,E-,E-,C,A-,F,E-,,,,,,,,
Heroes - MW3 Soundtrack,Brian Tyler,Video Game,,,,,,,,,,,,,,,,
The Binding Of Isaac - Main Theme,Danny Baranowsky,Video Game,,,,,,,,,C,G,A,A,D,D,C,B-
Menu Theme - BattleBlock Theater,Analogik,Video Game,A,,,,,,,,,,,,,,,
Mega Man X3 - Crush Crawfish Stage,Capcom,Video Game,C,E-,E-,F,A-,G,C,E-,,,,,,,,
Action 52 - Dam Busters,Action Enterprises,Video Game,C,F,C,F,C,F,C,F,,,,,,,,
Phoenix,All Levels at Once,Video Game,D#,E#,D#,A#,D#,E#,D#,A#,D#,B,F#,C#,D#,B,F#,C#
Kaite Tukutte Asoberu Dezaemon - Editor Music 1,Athena,Video Game,D,E,C#,D,B,C#,F#,D,,,,,,,,
Rock Club,Anamanaguchi,Video Game,,,,,,,,,D-,C,D-,C,D-,E-,C,F
Farmer Sim 2015 Menu Music,Alexandru Marusac,Video Game,,,,,,,,,,,,,,,,
Queen's Gardens,Christopher Larkin,Video Game,E,E,E,A,B,E,E,E,,,,,,,,
Prayer,Akamajou Densetsu,Video Game,,,,,,,,,,,,,,,,
Metal Gear Solid - Peace Walker Main Theme,Akihiro Honda,Video Game,,,,,,,,,D#,B,F#,C#,C#,D#,B,F#
Running Hell,Cave Story,Video Game,D,C,D,C,B-,D,A,B-,,,,,,,,
Sogno Di Volare,Christopher Tin,Video Game,,,,,,,,,G,E-,F,B-,B-,E-,E-,B-
Last Battle,Cave Story,Video Game,,,,,,,,,C,G,E-,F,A-,G,C,C
Deus Ex Main Title,Alexander Brandon,Video Game,,,,,,,,,A,G,A,G,C,G,G,A
Help me ERINNNNNN,Cool and Create,Video Game,,,,,,,,,A,E,F#,C#,D,A,B,E
Hyperdimension Neptunia U - Black Brave,Akihi Motoyama,Video Game,D,G,D,A,B,A,A,A,,,,,,,,
Leaving Earth ,Clint Mansell,Video Game,,,,,,,,,,,,,,,,
RollerCoaster Tycoon 2 Theme,Allister Brimble,Video Game,,,,,,,,,E,B,B,D#,D#,F#,F#,C#
Sweet Treasure,Ayachi Nene,Video Game,,,,,,,,,B-,C,C,D,C,D,E,B-
Super Hexagon Theme 1,Chipzel,Video Game,B-,B-,B-,B-,G-,G-,A-,F,B-,B-,B-,B-,G-,G-,A-,A-
Last Cave,Cave Story,Video Game,,,,,,,,,,,,,,,,
I Stand Alone - MW3 Soundtrack,Brian Tyler,Video Game,,,,,,,,,,,,,,,,
Faster Than Light - Last Stand,Ben Prunty,Video Game,C#,C#,F#,C#,A,G#,C#,E,F#,A,C#,B,F#,A,C#,B
Spectromancer - Truth and Beauty,Apus Software,Video Game,,,,,,,,,,,,,,,,
Scorching Back,Cave Story,Video Game,,,,,,,,,,,,,,,,
Mario Kart Wii - Rainbow Road,Asuka Ota,Video Game,,,,,,,,,,,,,,,,
Mega Man and Bass - Intro Museum,Capcom,Video Game,C,F,C,D,G,C,F,C,F,D,C,F,A-,D,F,D
Gensou Shoujo Taisen Ei - LUNATIC GUARDIAN,cobu,Video Game,,,,,,,,,,,,,,,,
Mega Man and Bass - Cold Man Stage,Capcom,Video Game,,,,,,,,,,,,,,,,
Mega Man 7 - Dr Wily Stage 1,Capcom,Video Game,G#,F#,C#,D,G#,E,F#,C#,,,,,,,,
Call of Duty MW3 - Main Theme,Brian Tyler,Video Game,,,,,,,,,E,G#,B,A,E,C#,B,A
Far Cry 3,Brian Tyler,Video Game,,,,,,,,,,,,,,,,
Coalescence,Chris Christodoulou,Video Game,G,D,F,C,A,C,D,G,,,,,,,,
Knight Of The Wind,Crush 40,Video Game,,,,,,,,,,,,,,,,
Love Live Sunshine S2 - WATER BLUE NEW WORLD,Aqours,Video Game,,,,,,,,,,,,,,,,
Map Music,Boulder Dash,Video Game,,,,,,,,,E,A,B,C#,B,A,G#,B
Baba Yetu,Christopher Tin,Video Game,,,,,,,,,D,D,B,G,A,D,D,B
Warning Call,CHVRCHES,Video Game,,,,,,,,,A,B,C#,C#,E,E,A,A
Main Theme,Cave Story,Video Game,,,,,,,,,D#,B,C#,D#,B,C#,,
The Legendary Theme,COIL,Video Game,E,E,A,A,E,E,A,A,,,,,,,,
Beach,Bart Roijmans,Video Game,,,,,,,,,,,,,,,,
Following Stanley - The Stanley Parable,Blake Robinson,Video Game,,,,,,,,,F,C,F,C,A,C,A,C
Athletic World - Hop-a-Log,Bandai,Video Game,D,G,D,A,D,G,D,A,,,,,,,,
The Blond Sailor - RCT2,Allister Brimble,Video Game,,,,,,,,,,,,,,,,
Die Anywhere Else,Alec Holowka and Scott Benson,Video Game,C,E-,A-,A-,B-,B-,E-,A-,,,,,,,,
Super Turrican,Chris Huelsbeck,Video Game,D,B,G,G,D,,,,,,,,,,,
RollerCoaster Tycoon 1 Theme,Allister Brimble,Video Game,,,,,,,,,,,,,,,,
The Gluten Free Mambo Tango Experience,andres,Video Game,F,E,A,D,G,C,F,B-,C,C,F,B,E,E,C,E
Courtesy,Chipzel,Video Game,,,,,,,,,D#,D#,E,E,F#,F#,G#,G#
Corridor Of Death,Damjan Mravunac,Video Game,,,,,,,,,,,,,,,,
Build that wall,Bastion,Video Game,,,,,,,,,,,,,,,,
Zelda II - The Adventure of Link - Village,Akito Nakatsuka,Video Game,,,,,,,,,,,,,,,,
Factorio - Sentient,Daniel James Taylor,Video Game,,,,,,,,,,,,,,,,
Shine Bros,Anamanaguchi,Video Game,F#,G#,A,D,A,B,C#,D,,,,,,,,
Mega Man X - Flame Mammoth,Capcom,Video Game,F,B-,B-,B-,C,F,B-,B-,,,,,,,,
Promise,Akira Yamaoka,Video Game,,,,,,,,,,,,,,,,
Setting Sail Coming Home,Bastion,Video Game,C,F,E-,G,C,F,E-,G,,,,,,,,
Otis,Chipzel,Video Game,E,E,G,A,C,C,C,G,E,E,E,E,C,C,G,G
Mega Man 9 - Strange World,Capcom,Video Game,C,B-,E-,D,G,C,B-,E-,,,,,,,,
Live And Learn,Crush 40,Video Game,,,,,,,,,,,,,,,,
Okami - Reset,Capcom,Video Game,A,E,A,E,A,E,D,E,F,G,A,E,F,G,C,F
Takuto Kitsuta,All Star Rest Area,Video Game,,,,,,,,,,,,,,,,
Mega Man and Bass - Ground Man Stage,Capcom,Video Game,E,A,C,A,F#,,,,A,F#,E,A,C,A,F#,B
